SeniorCitizen,has_security_service,has_streaming_service,is_month_to_month,is_long_term_customer,tenure,MonthlyCharges,TotalCharges,total_services,average_monthly_revenue,gender,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,tenure_group
0,1,1,1,1,35,49.2,1701.65,3,48.61857142857143,Male,No,No,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,25-48
0,1,0,1,0,15,75.1,1151.55,2,76.77,Male,Yes,Yes,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,13-24
0,1,0,0,0,13,40.55,590.35,3,45.41153846153846,Male,Yes,Yes,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,Two year,No,Mailed check,13-24
0,1,1,0,1,26,73.5,1905.7,5,73.29615384615384,Female,Yes,No,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),25-48
0,0,0,1,0,1,44.55,44.55,1,44.55,Male,Yes,Yes,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,0-12
0,1,1,0,1,66,79.5,5196.1,6,78.72878787878788,Male,No,Yes,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),49-72
0,0,0,1,0,1,19.8,19.8,1,19.8,Female,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),0-12
0,1,0,1,1,40,56.6,2379.1,3,59.4775,Female,Yes,No,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),25-48
0,1,1,0,1,65,59.8,3808.2,3,58.58769230769231,Female,Yes,No,Yes,No,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),49-72
0,1,1,0,1,60,80.55,4847.05,6,80.78416666666666,Female,No,No,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),49-72
1,1,0,1,0,5,59.9,287.85,4,57.57000000000001,Female,No,No,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),0-12
0,1,0,1,0,5,49.4,232.55,2,46.510000000000005,Female,Yes,Yes,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,0-12
0,1,0,1,0,2,50.95,123.05,2,61.525,Female,No,No,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,0-12
0,1,0,1,1,30,67.6,2000.2,6,66.67333333333333,Male,Yes,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,25-48
0,0,1,1,1,36,95.4,3474.2,4,96.50555555555555,Male,Yes,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,25-48
0,0,0,0,1,55,69.05,3842.6,1,69.86545454545454,Female,Yes,Yes,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),49-72
0,1,0,1,1,31,84.75,2613.4,4,84.30322580645162,Female,No,No,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),25-48
1,0,1,1,1,28,35.9,973.65,1,34.77321428571428,Female,Yes,Yes,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,25-48
0,0,0,0,0,16,18.95,326.8,1,20.425,Male,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),13-24
0,0,0,1,0,6,20.15,130.5,1,21.75,Male,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),0-12
1,1,0,0,1,27,85.9,2220.1,4,82.22592592592592,Male,Yes,No,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Electronic check,25-48
0,0,0,0,1,58,25.3,1474.35,2,25.419827586206896,Male,No,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),49-72
0,1,1,0,1,72,104.9,7732.65,7,107.39791666666666,Male,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),49-72
0,1,0,1,1,28,35.75,961.4,2,34.33571428571428,Female,No,No,No,No phone service,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,25-48
0,1,1,0,1,40,85.05,3355.65,3,83.89125,Male,Yes,Yes,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,25-48
0,0,0,1,0,1,20.5,20.5,1,20.5,Male,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0-12
0,0,1,1,0,5,80.0,412.5,2,82.5,Female,No,No,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,0-12
0,0,0,1,0,1,69.2,69.2,1,69.2,Female,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0-12
0,1,1,1,0,12,105.3,1275.65,6,106.30416666666667,Female,No,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,0-12
0,1,1,1,0,5,96.1,453.4,4,90.67999999999999,Male,No,No,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0-12
0,1,1,0,1,71,86.1,6045.9,7,85.15352112676055,Male,Yes,No,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),49-72
0,0,0,1,0,3,76.95,228.4,2,76.13333333333334,Male,No,No,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0-12
0,0,0,1,1,30,19.65,655.85,1,21.861666666666668,Female,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),25-48
