customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,churn_prediction,churn_probability,risk_level,actual_churn_encoded,expected_remaining_months,estimated_lifetime_months,estimated_ltv,ltv_segment,retention_priority
7590-VHVEG,Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,Yes,0.6092959642410278,High,0,2.344224214553833,3.344224214553833,99.82509280443192,Low,Medium
5575-GNVDE,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,No,0.03623785451054573,Low,0,11.565145745873451,45.56514574587345,2594.9350502274933,Medium,Low
3668-QPYBK,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,No,0.3923094868659973,Medium,1,0.0,2.0,107.7,Low,Low
7795-CFOCW,Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,No,0.035029757767915726,Low,0,11.579642906785011,56.57964290678501,2393.318894957006,Medium,Low
9237-HQITU,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,Yes,0.6171445846557617,High,1,0.0,2.0,141.4,Low,Medium
9305-CDSKC,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,Yes,0.8780631422996521,High,1,0.0,8.0,797.2,Low,Medium
1452-KIOVK,Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,No,0.43580907583236694,Medium,0,3.3851455450057983,25.3851455450058,2261.8164680600166,Medium,Medium
6713-OKOMC,Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,No,0.17310716211795807,Low,0,4.961357027292252,14.961357027292252,445.1003715619445,Low,Low
7892-POOKP,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,Yes,0.5111498236656189,Medium,1,0.0,28.0,2934.4,Medium,Medium
6388-TABGU,Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,No,0.030261021107435226,Low,0,11.636867746710777,73.63686774671078,4134.71012397781,High,Monitor
9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,No,0.16802886128425598,Low,0,4.991826832294464,17.991826832294464,898.6917502731085,Medium,Low
7469-LKBCI,Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,No,No,0.0031000799499452114,Low,0,23.925598081201315,39.925598081201315,756.5900836387649,Low,Low
8091-TTVAX,Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,No,0.18646761775016785,Low,0,9.762388586997986,67.76238858699799,6799.955694705248,High,Monitor
0280-XJGEX,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,Yes,0.5241710543632507,Medium,1,0.0,49.0,5081.3,High,High
5129-JLPIS,Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,Yes,0.5865651369094849,Medium,0,2.480609178543091,27.48060917854309,2899.204268336296,Medium,Medium
3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,No,0.03600022941827774,Low,0,23.135994493961334,92.13599449396133,10434.401376441121,High,Monitor
8191-XWSZG,Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,No,No,0.027472499758005142,Low,0,11.670330002903938,63.67033000290394,1314.7923145599661,Medium,Low
9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,No,0.031379975378513336,Low,0,23.24688059091568,94.24688059091568,10056.142159050703,High,Monitor
4190-MFLUW,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,No,0.20082475244998932,Low,1,0.0,10.0,552.0,Low,Low
4183-MYFRB,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,No,0.48511171340942383,Medium,0,3.089329719543457,24.089329719543457,2169.2441412448884,Medium,Medium
8779-QRDMV,Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,Yes,0.8650162220001221,High,1,0.0,1.0,39.65,Low,Medium
1680-VDCWW,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,No,No,0.03496823087334633,Low,0,11.580381229519844,23.580381229519844,466.89154834449295,Low,Low
1066-JKSGK,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,No,0.4061172306537628,Medium,1,0.0,1.0,20.15,Low,Low
3638-WEABW,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,No,0.027766341343522072,Low,0,23.33360780775547,81.33360780775547,4871.883107684553,High,Monitor
6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,No,0.08751141279935837,Low,0,5.47493152320385,54.47493152320385,3246.7059187829495,High,Monitor
6865-JZNKO,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,No,0.17097458243370056,Low,0,4.974152505397797,34.9741525053978,1934.070633548498,Medium,Low
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,Yes,0.5805562138557434,Medium,1,0.0,47.0,4669.45,High,High
8665-UTDHZ,Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,No,0.4784682095050812,Medium,1,0.0,1.0,30.2,Low,Low
5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,No,0.0024261223152279854,Low,0,23.94177306443453,95.94177306443453,8658.745019065216,High,Monitor
8773-HHUOZ,Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,No,0.2375371754169464,Low,1,0.0,17.0,1099.9,Medium,Low
3841-NFECX,Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,No,0.009783335030078888,Low,0,23.765199959278107,94.7651999592781,9130.627016076445,High,Monitor
