customerID,churn_prediction,churn_probability,risk_level,estimated_ltv,ltv_segment,retention_priority
7590-VHVEG,Yes,0.6092959642410278,High,99.82509280443192,Low,Medium
5575-GNVDE,No,0.03623785451054573,Low,2594.9350502274933,Medium,Low
3668-QPYBK,No,0.3923094868659973,Medium,107.7,Low,Low
7795-CFOCW,No,0.035029757767915726,Low,2393.318894957006,Medium,Low
9237-HQITU,Yes,0.6171445846557617,High,141.4,Low,Medium
9305-CDSKC,Yes,0.8780631422996521,High,797.2,Low,Medium
1452-KIOVK,No,0.43580907583236694,Medium,2261.8164680600166,Medium,Medium
6713-OKOMC,No,0.17310716211795807,Low,445.1003715619445,Low,Low
7892-POOKP,Yes,0.5111498236656189,Medium,2934.4,Medium,Medium
6388-TABGU,No,0.030261021107435226,Low,4134.71012397781,High,Monitor
9763-GRSKD,No,0.16802886128425598,Low,898.6917502731085,Medium,Low
7469-LKBCI,No,0.0031000799499452114,Low,756.5900836387649,Low,Low
8091-TTVAX,No,0.18646761775016785,Low,6799.955694705248,High,Monitor
0280-XJGEX,Yes,0.5241710543632507,Medium,5081.3,High,High
5129-JLPIS,Yes,0.5865651369094849,Medium,2899.204268336296,Medium,Medium
3655-SNQYZ,No,0.03600022941827774,Low,10434.401376441121,High,Monitor
8191-XWSZG,No,0.027472499758005142,Low,1314.7923145599661,Medium,Low
9959-WOFKT,No,0.031379975378513336,Low,10056.142159050703,High,Monitor
4190-MFLUW,No,0.20082475244998932,Low,552.0,Low,Low
4183-MYFRB,No,0.48511171340942383,Medium,2169.2441412448884,Medium,Medium
8779-QRDMV,Yes,0.8650162220001221,High,39.65,Low,Medium
1680-VDCWW,No,0.03496823087334633,Low,466.89154834449295,Low,Low
1066-JKSGK,No,0.4061172306537628,Medium,20.15,Low,Low
3638-WEABW,No,0.027766341343522072,Low,4871.883107684553,High,Monitor
6322-HRPFA,No,0.08751141279935837,Low,3246.7059187829495,High,Monitor
6865-JZNKO,No,0.17097458243370056,Low,1934.070633548498,Medium,Low
6467-CHFZW,Yes,0.5805562138557434,Medium,4669.45,High,High
8665-UTDHZ,No,0.4784682095050812,Medium,30.2,Low,Low
5248-YGIJN,No,0.0024261223152279854,Low,8658.745019065216,High,Monitor
8773-HHUOZ,No,0.2375371754169464,Low,1099.9,Medium,Low
3841-NFECX,No,0.009783335030078888,Low,9130.627016076445,High,Monitor
4929-XIHVW,Yes,0.7066552042961121,High,359.0865679383278,Low,Medium
6827-IEAUQ,No,0.04302086681127548,Low,2545.7000359252097,Medium,Low
7310-EGVHZ,No,0.3195720911026001,Medium,102.66786255836486,Low,Low
3413-BMNZE,Yes,0.6364375948905945,High,143.9571929872036,Low,Medium
6234-RAAPL,No,0.004006750416010618,Low,9580.793415202574,High,Monitor
6047-YHPVI,Yes,0.5797398686408997,Medium,348.5,Low,Low
6572-ADKRS,No,0.1817389279603958,Low,3808.0355691313744,High,Monitor
5380-WJKOV,Yes,0.5655017495155334,Medium,3615.8999999999996,High,High
8168-UQWWF,Yes,0.888055682182312,High,1076.35,Medium,High
8865-TNMNX,No,0.06616364419460297,Low,1050.759097161889,Medium,Low
9489-DEDVP,No,0.04126977175474167,Low,6436.259163069725,High,Monitor
9867-JCZSP,No,0.027773139998316765,Low,594.8344881404191,Low,Low
4671-VJLCL,No,0.024631725624203682,Low,6899.745761013775,High,Monitor
4080-IIARD,No,0.24654318392276764,Low,1335.0804563105107,Medium,Low
3714-NTNFO,No,0.4721757471561432,Medium,4408.106896191835,High,High
5948-UJZLF,No,0.3597038686275482,Medium,287.7075068205595,Low,Low
7760-OYPDY,Yes,0.7108885049819946,High,161.3,Low,Medium
7639-LIAYI,No,0.026740066707134247,Low,6009.819512322545,High,Monitor
2954-PIBKO,No,0.014058675616979599,Low,5944.305263020099,High,Monitor
8012-SOUDQ,No,0.47853896021842957,Medium,4163.12115304172,High,High
9420-LOJKX,Yes,0.6430808901786804,High,1486.5,Medium,High
6575-SUVOI,No,0.10192155838012695,Low,2111.998710155487,Medium,Low
7495-OOKFY,Yes,0.6644681692123413,High,645.2,Low,Medium
4667-QONEA,No,0.06527908891439438,Low,5330.56632233709,High,Monitor
1658-BYGOY,Yes,0.7065030932426453,High,1718.1000000000001,Medium,High
8769-KKTPH,No,0.16024832427501678,Low,7282.1250538319355,High,Monitor
5067-XJQFU,No,0.22127407789230347,Low,8171.133915030957,High,Monitor
3957-SQXML,No,0.014083588495850563,Low,1438.6667472086847,Medium,Low
